observation_date,EXPINF1YR
2/1/2000,3.1570678
3/1/2000,3.2388566
4/1/2000,3.1606735
5/1/2000,3.3126257
6/1/2000,3.7602013
7/1/2000,3.0862813
8/1/2000,3.1234906
9/1/2000,3.1741185
10/1/2000,3.1062109
11/1/2000,3.0989798
12/1/2000,3.1672986
1/1/2001,2.6536536
2/1/2001,2.632136
3/1/2001,2.1422446
4/1/2001,2.5592129
5/1/2001,2.7238774
6/1/2001,2.7511842
7/1/2001,2.6878453
8/1/2001,2.5859519
9/1/2001,3.1152263
10/1/2001,2.2912795
11/1/2001,2.0813513
12/1/2001,2.7313753
1/1/2002,2.2902539
2/1/2002,2.1457897
3/1/2002,2.013877
4/1/2002,2.5878316
5/1/2002,2.6186536
6/1/2002,2.3419254
7/1/2002,2.3480992
8/1/2002,2.1314545
9/1/2002,2.0411286
10/1/2002,2.0053377
11/1/2002,2.0305948
12/1/2002,1.9511579
1/1/2003,2.0790118
2/1/2003,2.1065381
3/1/2003,1.903343
4/1/2003,1.9895133
5/1/2003,1.8385312
6/1/2003,2.2847306
7/1/2003,1.6263355
8/1/2003,1.8526073
9/1/2003,1.9804944
10/1/2003,1.7885532
11/1/2003,1.9308072
12/1/2003,2.2234564
1/1/2004,1.9069713
2/1/2004,1.9871939
3/1/2004,1.7042839
4/1/2004,1.8527671
5/1/2004,2.2141024
6/1/2004,2.5740778
7/1/2004,2.2558469
8/1/2004,2.3408529
9/1/2004,2.6767708
10/1/2004,2.145831
11/1/2004,2.2068239
12/1/2004,1.7525286
1/1/2005,2.1405957
2/1/2005,2.1370072
3/1/2005,2.3342418
4/1/2005,2.4622893
5/1/2005,2.5780667
6/1/2005,2.3619011
7/1/2005,2.3318043
8/1/2005,2.4638191
9/1/2005,2.3538136
10/1/2005,2.8474638
11/1/2005,3.0510174
12/1/2005,3.2271725
1/1/2006,2.4027758
2/1/2006,2.5082827
3/1/2006,1.768612
4/1/2006,2.6830379
5/1/2006,2.8830197
6/1/2006,2.7447553
7/1/2006,2.8005219
8/1/2006,2.8670646
9/1/2006,2.6513028
10/1/2006,2.4007047
11/1/2006,1.8893923
12/1/2006,1.9891528
1/1/2007,2.6838116
2/1/2007,2.6396415
3/1/2007,2.7976602
4/1/2007,2.7184483
5/1/2007,2.9243064
6/1/2007,3.214615
7/1/2007,2.614408
8/1/2007,2.6534371
9/1/2007,2.5740481
10/1/2007,2.2920506
11/1/2007,2.6320037
12/1/2007,2.5437758
1/1/2008,2.466622
2/1/2008,2.2977869
3/1/2008,1.9336763
4/1/2008,2.0175043
5/1/2008,2.2868435
6/1/2008,2.7285115
7/1/2008,2.9490198
8/1/2008,3.0525448
9/1/2008,2.7309252
10/1/2008,1.6072395
11/1/2008,0.78457206
12/1/2008,0.28299557
1/1/2009,0.47357505
2/1/2009,0.38164688
3/1/2009,-0.48067803
4/1/2009,1.2289362
5/1/2009,1.2972457
6/1/2009,1.2745119
7/1/2009,1.5522347
8/1/2009,2.0245319
9/1/2009,2.3608109
10/1/2009,1.6283633
11/1/2009,1.8070337
12/1/2009,1.7866037
1/1/2010,1.6957593
2/1/2010,1.7316171
3/1/2010,1.9701388
4/1/2010,1.587202
5/1/2010,1.562963
6/1/2010,1.3532178
7/1/2010,0.96279857
8/1/2010,1.3411201
9/1/2010,0.90713698
10/1/2010,1.3652619
11/1/2010,1.3962369
12/1/2010,1.4938723
1/1/2011,1.7900451
2/1/2011,1.9547432
3/1/2011,2.1063793
4/1/2011,2.0757372
5/1/2011,2.292302
6/1/2011,2.1177045
7/1/2011,2.432348
8/1/2011,1.5113148
9/1/2011,1.008876
10/1/2011,1.4656093
11/1/2011,1.5052488
12/1/2011,1.7116627
1/1/2012,1.4714419
2/1/2012,1.5014226
3/1/2012,1.3620536
4/1/2012,1.6869361
5/1/2012,1.5903147
6/1/2012,0.78930567
7/1/2012,1.2966497
8/1/2012,1.3700924
9/1/2012,1.9315046
10/1/2012,1.6131067
11/1/2012,1.6632266
12/1/2012,2.1029068
1/1/2013,1.3155854
2/1/2013,1.3608065
3/1/2013,1.0049408
4/1/2013,1.4563149
5/1/2013,1.1780254
6/1/2013,1.3532103
7/1/2013,1.0030329
8/1/2013,1.797427
9/1/2013,2.202423
10/1/2013,1.5555239
11/1/2013,1.4505754
12/1/2013,1.9240314
1/1/2014,1.6382453
2/1/2014,1.5858281
3/1/2014,1.2194617
4/1/2014,1.653011
5/1/2014,1.76839
6/1/2014,1.5265458
7/1/2014,1.8594911
8/1/2014,1.8065541
9/1/2014,2.1150395
10/1/2014,1.6022445
11/1/2014,1.321155
12/1/2014,2.1860996
1/1/2015,0.91604112
2/1/2015,0.38334206
3/1/2015,0.79843856
4/1/2015,1.5899931
5/1/2015,1.7028274
6/1/2015,1.7750546
7/1/2015,1.8011251
8/1/2015,1.7247986
9/1/2015,1.92835583
10/1/2015,1.3119821
11/1/2015,1.3066673
12/1/2015,1.46795515
1/1/2016,1.47498776
2/1/2016,1.11589387
3/1/2016,0.78224551
4/1/2016,1.68966418
5/1/2016,1.66012215
6/1/2016,1.28116185
7/1/2016,1.64813436
8/1/2016,1.5900866
9/1/2016,2.06443724
10/1/2016,1.74399736
11/1/2016,1.90220184
12/1/2016,2.2917332
1/1/2017,2.1027318
2/1/2017,1.94277371
3/1/2017,1.50314821
4/1/2017,1.71866969
5/1/2017,1.56480634
6/1/2017,0.95868776
7/1/2017,1.71215951
8/1/2017,1.65217832
9/1/2017,2.05780237
10/1/2017,1.95269933
11/1/2017,2.06917502
12/1/2017,2.82407476
1/1/2018,1.9048938
2/1/2018,2.13804094
3/1/2018,1.68874433
4/1/2018,1.84679022
5/1/2018,1.96778394
6/1/2018,1.59099529
7/1/2018,2.12308939
8/1/2018,2.12845808
9/1/2018,2.41001454
10/1/2018,2.21216657
11/1/2018,2.16701625
12/1/2018,1.98107002
1/1/2019,1.8039584
2/1/2019,1.78943106
3/1/2019,1.37532429
4/1/2019,2.0373803
5/1/2019,2.18513987
6/1/2019,1.60914045
7/1/2019,1.74765616
8/1/2019,1.71433646
9/1/2019,1.64492794
10/1/2019,1.72460183
11/1/2019,1.69729979
12/1/2019,1.70378442
1/1/2020,1.79710932
2/1/2020,1.64596366
3/1/2020,0.98707392
4/1/2020,-0.05035367
5/1/2020,-0.21879037
6/1/2020,0.51275711
7/1/2020,1.57200144
8/1/2020,1.67677177
9/1/2020,1.5827644
10/1/2020,1.39703767
11/1/2020,1.42002946
12/1/2020,1.64952129
1/1/2021,1.4460926
2/1/2021,1.67548668
3/1/2021,1.51383809
4/1/2021,1.75471736
5/1/2021,1.86820734
6/1/2021,2.05518859
7/1/2021,2.07311612
8/1/2021,2.46241259
9/1/2021,2.68413713
10/1/2021,1.85436755
11/1/2021,2.4798405
12/1/2021,2.62030861
1/1/2022,2.24175848
2/1/2022,2.62741883
3/1/2022,3.05769883
4/1/2022,3.39290341
5/1/2022,3.63465785
6/1/2022,4.22671337
7/1/2022,3.3092777
8/1/2022,3.37713165
9/1/2022,4.17914969
10/1/2022,2.88195932
11/1/2022,3.23904839
12/1/2022,2.86811918
1/1/2023,2.6790161
2/1/2023,2.61308946
3/1/2023,2.07325087
4/1/2023,2.65083257
5/1/2023,2.65363857
6/1/2023,1.36626254
7/1/2023,2.47431653
8/1/2023,2.60696893
9/1/2023,2.81243484
10/1/2023,2.76957367
11/1/2023,2.7911957
12/1/2023,3.09166499
1/1/2024,2.41863256
